src_ip,dst_ip,src_port,dst_port,protocol,num_packets_src,num_packets_dst,bytes_src,bytes_dst,duration
142.250.184.182,192.168.1.157,443.0,37062.0,UDP,32,32,29980,29980,10.421512
142.250.200.78,192.168.1.157,443.0,37874.0,TCP,170,170,145902,145902,18.838815
142.250.201.65,192.168.1.157,443.0,44977.0,UDP,9,9,5301,5301,0.035622
192.168.1.151,224.0.0.251,5353.0,5353.0,UDP,2,2,200,200,1.023926
192.168.1.157,142.250.184.182,37062.0,443.0,UDP,9,9,5962,5962,10.396214
192.168.1.157,142.250.200.78,37874.0,443.0,TCP,95,95,101031,101031,18.840979
192.168.1.157,142.250.201.65,44977.0,443.0,UDP,6,6,5448,5448,0.070458
192.168.1.157,216.58.215.182,54770.0,443.0,UDP,15,15,6799,6799,8.201281
192.168.1.157,74.125.97.198,40117.0,443.0,UDP,9,9,4789,4789,0.0694
192.168.1.157,74.125.97.198,50078.0,443.0,UDP,84,84,17775,17775,10.47374
192.168.1.157,74.125.97.202,35442.0,443.0,UDP,203,203,24361,24361,6.474393
192.168.1.157,74.125.97.202,38205.0,443.0,UDP,9,9,4730,4730,0.07488
192.168.1.73,224.0.0.251,5353.0,5353.0,UDP,2,2,206,206,1.0339
192.168.1.73,239.255.255.250,61152.0,1900.0,UDP,9,9,1503,1503,20.272564
216.58.215.182,192.168.1.157,443.0,54770.0,UDP,59,59,60913,60913,8.221524
34.107.243.93,192.168.1.157,443.0,45012.0,TCP,2,2,156,156,0.014288
74.125.97.198,192.168.1.157,443.0,40117.0,UDP,12,12,8833,8833,0.054361
74.125.97.198,192.168.1.157,443.0,50078.0,UDP,3877,3877,4982384,4982384,10.496217
74.125.97.202,192.168.1.157,443.0,35442.0,UDP,3853,3853,4962554,4962554,6.459682
74.125.97.202,192.168.1.157,443.0,38205.0,UDP,13,13,8915,8915,0.0598
